测试频道1_999,#genre#
狼吻十四日,https://v6.jindangao.com/hj/hj1/hj8/5/hls/index.m3u8
迷情司机,https://v6.jindangao.com/hj/hj1/hj9/19/hls/index.m3u8
色魔玩处女,https://v6.jindangao.com/hj/hj2/hj22/33/hls/index.m3u8
灭门惨案之虐杀,https://v5.jindangao.com/yy/y1/18/hls/index.m3u8
三奸,https://v5.jindangao.com/gg/g4/33/hls/index.m3u8
惊变,https://v5.jindangao.com/ff/f6/7/hls/index.m3u8
蜈蚣咒,https://v6.jindangao.com/bb/b16/30/500kb/hls/index.m3u8
香港屠夫,https://v6.jindangao.com/dd/d2/39/500kb/hls/index.m3u8
屯门色魔,https://v6.jindangao.com/aa/a8/25/600kb/hls/index.m3u8
魔鬼天使徐若瑄,https://v6.jindangao.com/aa/a8/13/600kb/hls/index.m3u8
极度墙间,https://v6.jindangao.com/aa/a7/18/600kb/hls/index.m3u8
戴错贞操带,https://v6.jindangao.com/aa/a17/16/500kb/hls/index.m3u8
强间3之oL诱惑,https://v6.jindangao.com/aa/a14/22/600kb/hls/index.m3u8
赤裸毒药,https://v6.jindangao.com/dd/d10/13/500kb/hls/index.m3u8
强间4终极篇最后羔羊,https://v6.jindangao.com/aa/a23/31/500kb/hls/index.m3u8
香港奇案之四庙街皇后,https://v6.jindangao.com/dd/d3/33/500kb/hls/index.m3u8
山狗2003兽性陷阱,https://v6.jindangao.com/dd/d1/28/500kb/hls/index.m3u8
香港奇案之凶杀,https://v6.jindangao.com/dd/d3/31/500kb/hls/index.m3u8
香港奇案之老爷车纵火谋杀案,https://v6.jindangao.com/dd/d3/32/500kb/hls/index.m3u8
色欲档案之性,https://v6.jindangao.com/dd/d1/27/500kb/hls/index.m3u8
新羔羊医生,https://v6.jindangao.com/dd/d3/38/500kb/hls/index.m3u8
盲女72小时,https://v6.jindangao.com/dd/d3/40/500kb/hls/index.m3u8
满床春水,https://v6.jindangao.com/aa/a21/18/500kb/hls/index.m3u8
西环浮尸,https://v6.jindangao.com/dd/d1/42/500kb/hls/index.m3u8
妖怪都市,https://v6.jindangao.com/dd/d6/19/500kb/hls/index.m3u8
香港奇案之吸血贵利王,https://v6.jindangao.com/v14/18/600kb/hls/index.m3u8
人肉天妇罗,https://v6.jindangao.com/dd/d19/40/700kb/hls/index.m3u8
诱人犯罪,https://v6.jindangao.com/bb/b1/27/500kb/hls/index.m3u8
监狱不设防,https://v6.jindangao.com/dd/d7/42/500kb/hls/index.m3u8
鬼话成真,https://v6.jindangao.com/dd/d7/22/500kb/hls/index.m3u8
黑狱圣女,https://v6.jindangao.com/bb/b14/9/500kb/hls/index.m3u8
猛鬼舞厅,https://v6.jindangao.com/dd/d7/56/500kb/hls/index.m3u8
猛鬼出笼②艳鬼发狂,https://v6.jindangao.com/dd/d7/55/500kb/hls/index.m3u8
蒸夫,https://v6.jindangao.com/v13/4/600kb/hls/index.m3u8
隐形淫魔,https://v6.jindangao.com/bb/b15/38/500kb/hls/index.m3u8
人间蒸发,https://v5.jindangao.com/gg/g3/33/hls/index.m3u8
杀人工厂,https://v5.jindangao.com/gg/g6/34/hls/index.m3u8
人肉玩具,https://v5.jindangao.com/gg/g3/36/hls/index.m3u8
银魔暴行,https://v5.jindangao.com/oo/o10/18/hls/index.m3u8
山狗1999,https://v5.jindangao.com/gg/g6/42/hls/index.m3u8
